id,image_url,description,sort_order,is_published,created_at,updated_at
4dbdac37-49b0-458b-9aac-6225e1ddca14,https://dkdrfftuvroetapqrqbf.supabase.co/storage/v1/object/public/award-images/1775014642904-cb5umf9myha.png," ปี 2018 Property Export Awords Thailand 2018 รางวัลคอนโดแบบต่ำประเภทคุ้มค่ายอดเยี่ยม (นอกตลาดหลักทรัพย์) โครงการ Palm Springs Nimman",0,true,2026-03-30 09:51:39.996693+00,2026-03-30 09:51:39.996693+00
8ebb2e49-941c-408c-acc6-9568f1abcdff,https://dkdrfftuvroetapqrqbf.supabase.co/storage/v1/object/public/award-images/1774864308165-nc0z99amo1b.jpg,ปี 2022 FIABCI-Thai Prix D’Excellence Award in 2022 ในสาขา ที่อยู่อาศัยแนวราบ โครงการ ปาล์มวิลล์ แยกข่วงสิงห์ ถ.โชตนา,0,true,2026-03-30 09:51:49.928553+00,2026-03-30 09:51:49.928553+00
